denominazione_regione	hs	ic	th	hi	tcp	ncp	dh	d	tc	sw	casi_testati
Abruzzo	0	0	0	0	0	0	0	0	0	5	
Abruzzo	0	0	0	0	0	0	0	0	0	5	
Abruzzo	0	0	0	0	0	0	0	0	0	13	
Abruzzo	1	0	1	0	1	1	0	0	1	33	
Abruzzo	1	0	1	0	1	0	0	0	1	33	
Abruzzo	2	0	2	0	2	1	0	0	2	43	
Abruzzo	3	0	3	2	5	3	0	0	5	52	
Abruzzo	3	0	3	2	5	0	0	0	5	52	
Abruzzo	5	0	5	1	6	1	0	0	6	52	
Abruzzo	7	0	7	0	7	1	0	0	7	85	
Abruzzo	8	0	8	0	8	1	0	0	8	96	
Abruzzo	9	0	9	0	9	1	0	0	9	96	
Abruzzo	11	0	11	0	11	2	0	0	11	123	
Abruzzo	14	0	14	3	17	6	0	0	17	163	
Abruzzo	25	0	25	5	30	13	0	0	30	237	
Abruzzo	17	9	26	11	37	8	0	1	38	310	
Abruzzo	17	9	26	11	37	0	0	1	38	310	
Abruzzo	47	12	59	19	78	46	4	2	84	867	
Abruzzo	42	14	56	27	83	5	4	2	89	958	
Abruzzo	51	14	65	41	106	23	4	2	112	1232	
Abruzzo	72	28	100	28	128	25	6	3	137	1419	
Abruzzo	71	37	108	57	165	39	7	4	176	1533	
Abruzzo	94	32	126	90	216	53	7	6	229	1688	
Abruzzo	99	41	140	109	249	34	7	7	263	2054	
Abruzzo	181	47	228	138	366	122	8	11	385	2409	
Abruzzo	190	48	238	184	422	64	10	17	449	2695	
Abruzzo	185	44	229	265	494	80	13	22	529	3035	
Abruzzo	218	49	267	272	539	58	15	33	587	3375	
Abruzzo	228	52	280	325	605	76	20	38	663	3674	
Abruzzo	234	57	291	331	622	26	21	46	689	4294	
Abruzzo	248	59	307	431	738	124	23	52	813	4982	
Abruzzo	280	64	344	516	860	133	23	63	946	5488	
Abruzzo	289	71	360	565	925	71	24	68	1017	6109	
Abruzzo	311	70	381	646	1027	116	30	76	1133	7003	
Abruzzo	329	68	397	772	1169	160	36	88	1293	7730	
Abruzzo	322	69	391	778	1169	52	74	102	1345	7948	
Abruzzo	335	73	408	783	1191	56	95	115	1401	8758	
Abruzzo	342	71	413	798	1211	35	102	123	1436	9610	
Abruzzo	341	75	416	835	1251	61	113	133	1497	10647	
Abruzzo	361	76	437	864	1301	66	116	146	1563	11890	
Abruzzo	354	71	425	931	1356	65	119	153	1628	12837	
Abruzzo	347	67	414	1006	1420	75	125	158	1703	13598	
